BMW,KIA,label
194,182,빠름
74,0,느림
28,18,느림
149,138,보통
61,26,느림
85,198,빠름
135,187,빠름
205,189,빠름
44,64,보통
232,179,빠름
65,154,빠름
33,55,보통
198,51,보통
139,154,빠름
170,75,보통
215,69,보통
190,52,보통
249,33,느림
180,15,느림
166,27,느림
166,28,느림
73,62,보통
85,5,느림
8,73,보통
152,52,보통
61,107,보통
154,12,느림
134,172,빠름
135,129,보통
177,55,보통
120,165,빠름
74,41,느림
165,186,빠름
99,106,보통
229,169,빠름
25,36,느림
181,131,보통
121,4,느림
105,115,보통
25,35,느림
169,95,보통
104,58,보통
119,36,느림
161,5,느림
241,61,보통
174,24,느림
247,167,빠름
105,20,느림
25,58,보통
88,33,느림
125,62,보통
129,134,보통
88,129,보통
31,99,보통
10,21,느림
3,168,빠름
75,49,느림
236,19,느림
21,40,느림
178,48,느림
152,10,느림
130,173,빠름
103,199,빠름
168,60,보통
78,71,보통
37,106,보통
54,153,빠름
57,95,보통
237,39,느림
216,54,보통
103,79,보통
248,47,느림
179,188,빠름
74,118,보통
38,167,빠름
194,102,보통
158,163,빠름
217,4,느림
39,43,느림
143,135,보통
39,119,보통
216,102,보통
113,2,느림
132,39,느림
93,160,빠름
125,130,보통
242,136,보통
239,194,빠름
125,124,보통
47,60,보통
40,171,빠름
148,62,보통
135,106,보통
173,121,보통
158,117,보통
155,165,빠름
9,183,빠름
14,160,빠름
7,38,느림
217,133,보통
84,144,보통
91,121,보통
44,47,느림
22,18,느림
112,8,느림
226,59,보통
69,170,빠름
127,107,보통
16,48,느림
9,164,빠름
73,124,보통
147,8,느림
119,128,보통
0,182,느림
111,194,빠름
66,46,느림
219,121,보통
90,61,보통
227,121,보통
71,56,보통
45,134,보통
28,129,보통
231,99,보통
29,162,빠름
103,185,빠름
167,94,보통
91,178,빠름
216,39,느림
189,85,보통
137,156,빠름
37,116,보통
61,43,느림
204,65,보통
87,17,느림
99,114,보통
27,52,보통
161,196,빠름
91,34,느림
222,190,빠름
180,121,보통
224,60,보통
119,84,보통
161,4,느림
82,47,느림
77,95,보통
119,47,느림
231,177,빠름
30,53,보통
10,191,빠름
0,16,느림
131,75,보통
147,41,느림
6,17,느림
36,17,느림
26,98,보통
92,86,보통
184,37,느림
96,102,보통
133,29,느림
34,177,빠름
31,189,빠름
225,104,보통
203,18,느림
7,105,보통
228,148,보통
50,66,보통
202,181,빠름
103,121,보통
34,6,느림
224,37,느림
84,71,보통
61,23,느림
44,74,보통
121,61,보통
61,2,느림
88,91,보통
166,68,보통
218,46,느림
120,121,보통
166,26,느림
178,84,보통
44,88,보통
120,26,느림
26,101,보통
169,132,보통
216,150,빠름
225,58,보통
121,154,빠름
78,121,보통
166,23,느림
51,109,보통
236,59,보통
17,187,빠름
44,35,느림
181,23,느림
209,150,빠름
34,120,보통
82,143,보통
152,13,느림
207,100,보통
32,6,느림
121,175,빠름
133,4,느림
77,37,느림
167,152,빠름
132,32,느림
115,69,보통
113,11,느림
40,28,느림
144,160,빠름
67,81,보통
231,3,느림
100,65,보통
2,187,빠름
107,180,빠름
57,102,보통
109,89,보통
119,131,보통
197,182,빠름
42,181,빠름
187,65,보통
134,130,보통
28,192,빠름
56,7,느림
16,146,보통
89,42,느림
206,34,느림
242,53,보통
208,44,느림
240,143,보통
244,184,빠름
35,143,보통
101,74,보통
191,171,빠름
225,158,빠름
95,74,보통
228,183,빠름
34,47,느림
76,156,빠름
58,36,느림
190,174,빠름
183,80,보통
204,66,보통
199,128,보통
221,173,빠름
150,27,느림
241,100,보통
118,88,보통
176,50,보통
197,149,보통
151,14,느림
151,36,느림
172,117,보통
245,38,느림
35,176,빠름
130,155,빠름
169,1,느림
53,88,보통
208,7,느림
185,84,보통
34,145,보통
48,107,보통
218,118,보통
70,85,보통
222,171,빠름
31,153,빠름
12,144,보통
188,40,느림
138,23,느림
99,88,보통
167,135,보통
14,61,보통
158,106,보통
103,166,빠름
173,116,보통
218,84,보통
129,183,빠름
224,8,느림
233,4,느림
201,23,느림
231,56,보통
11,33,느림
54,67,보통
71,107,보통
217,24,느림
230,81,보통
24,139,보통
1,41,느림
208,38,느림
119,34,느림
112,170,빠름
129,75,보통
1,73,보통
193,61,보통
130,190,빠름
13,155,빠름
227,176,빠름
64,32,느림
81,129,보통
57,50,보통
94,55,보통
218,76,보통
120,114,보통
86,61,보통
124,120,보통
155,177,빠름
95,160,빠름
213,118,보통
204,161,빠름
50,160,빠름
250,105,보통
174,181,빠름
103,32,느림
213,54,보통
116,55,보통
44,198,빠름
208,184,빠름
7,69,보통
170,168,빠름
48,13,느림
131,44,느림
94,7,느림
72,22,느림
197,144,보통
62,35,느림
215,38,느림
230,112,보통
243,72,보통
101,56,보통
103,126,보통
238,83,보통
153,42,느림
54,133,보통
141,1,느림
70,175,빠름
248,162,빠름
227,145,보통
7,132,보통
176,107,보통
192,87,보통
65,5,느림
35,184,빠름
93,119,보통
34,56,보통
201,163,빠름
243,140,보통
41,33,느림
41,78,보통
31,50,보통
101,73,보통
165,21,느림
153,68,보통
137,180,빠름
194,61,보통
192,117,보통
152,87,보통
164,23,느림
195,173,빠름
54,10,느림
249,94,보통
127,85,보통
202,61,보통
15,167,빠름
146,69,보통
249,2,느림
118,151,빠름
65,170,빠름
47,179,빠름
120,187,빠름
84,120,보통
153,96,보통
186,141,보통
64,195,빠름
169,103,보통
126,37,느림
163,38,느림
243,175,빠름
246,179,빠름
120,113,보통
187,78,보통
207,15,느림
5,176,빠름
60,92,보통
215,49,느림
199,199,빠름
101,101,보통
113,107,보통
210,193,빠름
22,53,보통
213,56,보통
170,66,보통
220,31,느림
115,177,빠름
10,155,빠름
203,141,보통
34,181,빠름
99,76,보통
228,2,느림
194,66,보통
90,112,보통
195,9,느림
213,137,보통
95,25,느림
173,60,보통
185,100,보통
178,138,보통
200,25,느림
127,22,느림
205,45,느림
216,61,보통
71,137,보통
99,146,보통
204,133,보통
154,77,보통
124,42,느림
89,135,보통
182,148,보통
32,28,느림
217,34,느림
212,130,보통
215,93,보통
88,1,느림
132,99,보통
85,101,보통
42,124,보통
146,133,보통
120,60,보통
4,169,빠름
235,152,빠름
6,177,빠름
202,96,보통
189,72,보통
47,5,느림
32,30,느림
56,71,보통
197,130,보통
17,5,느림
124,98,보통
199,175,빠름
179,32,느림
143,1,느림
183,195,빠름
139,172,빠름
142,159,빠름
237,45,느림
107,130,보통
77,183,빠름
1,18,느림
156,161,빠름
223,34,느림
135,33,느림
20,122,보통
20,57,보통
83,86,보통
244,104,보통
125,172,빠름
34,72,보통
102,53,보통
153,79,보통
243,10,느림
41,177,빠름
43,177,빠름
118,163,빠름
139,19,느림
184,77,보통
126,167,빠름
231,9,느림
144,46,느림
15,66,보통
185,155,빠름
215,119,보통
204,151,빠름
175,90,보통
187,90,보통
111,101,보통
131,179,빠름
36,81,보통
91,63,보통
127,163,빠름
238,186,빠름
203,142,보통
247,30,느림
155,199,빠름
58,176,빠름
135,25,느림
151,19,느림
219,143,보통
82,186,빠름
35,195,빠름
95,127,보통
183,53,보통
188,151,빠름
29,115,보통
48,102,보통
172,115,보통
153,185,빠름
29,137,보통
172,65,보통
153,176,빠름
207,17,느림
122,110,보통
41,97,보통
85,58,보통
43,104,보통
177,162,빠름
26,15,느림
118,132,보통
163,129,보통
94,81,보통
35,84,보통
162,188,빠름
18,6,느림
165,81,보통
110,77,보통
44,113,보통
177,147,보통
4,110,보통
138,186,빠름
106,21,느림
244,189,빠름
0,58,느림
105,93,보통
203,32,느림
110,70,보통
192,186,빠름
61,130,보통
204,153,빠름
148,114,보통
150,118,보통
197,59,보통
104,34,느림
220,4,느림
120,29,느림
11,150,빠름
122,100,보통
98,141,보통
244,87,보통
13,0,느림
213,155,빠름
129,95,보통
124,175,빠름
225,77,보통
146,68,보통
56,157,빠름
13,63,보통
87,49,느림
247,188,빠름
223,161,빠름
129,114,보통
112,42,느림
37,167,빠름
90,68,보통
120,97,보통
133,148,보통
139,110,보통
41,114,보통
152,176,빠름
173,149,보통
27,179,빠름
149,193,빠름
102,3,느림
73,167,빠름
228,4,느림
89,115,보통
80,193,빠름
54,111,보통
221,45,느림
34,167,빠름
89,23,느림
197,146,보통
150,74,보통
216,147,보통
34,5,느림
142,29,느림
23,151,빠름
132,181,빠름
134,57,보통
216,117,보통
44,42,느림
85,114,보통
122,41,느림
9,9,느림
77,2,느림
204,183,빠름
37,72,보통
17,178,빠름
116,93,보통
230,173,빠름
27,134,보통
94,15,느림
180,30,느림
190,102,보통
30,154,빠름
214,102,보통
212,178,빠름
193,190,빠름
133,68,보통
101,20,느림
230,159,빠름
248,43,느림
108,63,보통
157,123,보통
131,69,보통
208,20,느림
213,153,빠름
247,90,보통
185,75,보통
171,44,느림
212,86,보통
104,194,빠름
238,4,느림
173,173,빠름
157,71,보통
90,41,느림
245,116,보통
36,99,보통
124,85,보통
97,177,빠름
223,32,느림
205,42,느림
109,95,보통
32,107,보통
25,143,보통
215,143,보통
127,194,빠름
23,172,빠름
163,52,보통
230,175,빠름
74,23,느림
111,37,느림
131,180,빠름
129,170,빠름
203,63,보통
239,113,보통
142,66,보통
2,143,보통
222,22,느림
101,54,보통
234,133,보통
187,38,느림
113,54,보통
96,70,보통
14,159,빠름
49,88,보통
23,75,보통
87,85,보통
185,177,빠름
234,68,보통
146,39,느림
86,70,보통
197,170,빠름
231,76,보통
220,197,빠름
79,106,보통
114,22,느림
60,131,보통
233,116,보통
184,176,빠름
92,176,빠름
47,3,느림
90,107,보통
210,8,느림
190,174,빠름
151,200,빠름
70,60,보통
160,181,빠름
92,198,빠름
227,160,빠름
182,101,보통
155,200,빠름
180,177,빠름
236,67,보통
81,132,보통
148,78,보통
61,177,빠름
87,90,보통
34,49,느림
127,138,보통
147,193,빠름
139,91,보통
37,187,빠름
222,72,보통
223,157,빠름
145,27,느림
197,195,빠름
165,160,빠름
136,89,보통
75,167,빠름
15,80,보통
22,5,느림
216,112,보통
186,33,느림
246,54,보통
75,151,빠름
179,38,느림
15,164,빠름
69,130,보통
234,119,보통
144,200,빠름
173,152,빠름
200,24,느림
160,28,느림
96,138,보통
211,96,보통
107,89,보통
49,42,느림
28,19,느림
170,75,보통
86,173,빠름
115,45,느림
67,66,보통
166,105,보통
163,66,보통
165,53,보통
166,141,보통
31,120,보통
139,164,빠름
240,97,보통
167,97,보통
75,143,보통
241,76,보통
233,73,보통
181,83,보통
131,179,빠름
191,47,느림
82,175,빠름
149,84,보통
44,82,보통
246,44,느림
128,31,느림
233,100,보통
197,59,보통
133,69,보통
85,186,빠름
235,100,보통
238,96,보통
233,99,보통
159,178,빠름
94,57,보통
57,38,느림
150,115,보통
212,14,느림
19,23,느림
50,129,보통
161,15,느림
82,124,보통
128,146,보통
64,81,보통
11,154,빠름
66,37,느림
219,118,보통
250,187,빠름
186,95,보통
131,75,보통
156,112,보통
247,197,빠름
111,175,빠름
126,32,느림
99,76,보통
238,10,느림
44,178,빠름
30,21,느림
79,41,느림
79,67,보통
101,157,빠름
73,190,빠름
1,76,보통
30,123,보통
61,68,보통
60,176,빠름
161,64,보통
222,169,빠름
26,95,보통
195,192,빠름
214,184,빠름
51,13,느림
231,162,빠름
81,180,빠름
122,144,보통
218,79,보통
35,195,빠름
148,84,보통
19,12,느림
97,106,보통
26,167,빠름
151,99,보통
223,10,느림
34,121,보통
233,5,느림
42,41,느림
114,163,빠름
173,57,보통
152,97,보통
202,132,보통
122,36,느림
91,118,보통
160,10,느림
227,182,빠름
205,13,느림
29,22,느림
68,69,보통
172,62,보통
3,192,빠름
68,187,빠름
60,21,느림
108,161,빠름
98,83,보통
41,41,느림
115,73,보통
240,87,보통
118,24,느림
61,47,느림
28,164,빠름
69,186,빠름
190,8,느림
189,80,보통
67,78,보통
142,53,보통
194,109,보통
9,160,빠름
110,10,느림
234,132,보통
71,32,느림
247,45,느림
165,1,느림
161,183,빠름
34,184,빠름
232,164,빠름
63,150,빠름
175,19,느림
156,146,보통
73,118,보통
147,49,느림
24,68,보통
109,109,보통
175,154,빠름
83,171,빠름
160,94,보통
109,71,보통
38,75,보통
153,24,느림
16,0,느림
146,109,보통
26,4,느림
57,99,보통
247,34,느림
120,180,빠름
243,175,빠름
144,14,느림
191,164,빠름
196,27,느림
80,99,보통
140,147,보통
120,35,느림
155,27,느림
35,197,빠름
4,190,빠름
45,68,보통
245,200,빠름
68,78,보통
30,119,보통
205,68,보통
160,19,느림
55,185,빠름
167,117,보통
227,114,보통
171,0,느림
187,137,보통
21,170,빠름
70,194,빠름
103,9,느림
160,38,느림
36,63,보통
152,96,보통
216,8,느림
234,2,느림
194,106,보통
224,106,보통
75,190,빠름
115,179,빠름
13,123,보통
224,117,보통
29,100,보통
120,195,빠름
72,40,느림
229,198,빠름
113,146,보통
42,136,보통
32,192,빠름
223,119,보통
39,114,보통
68,17,느림
17,120,보통
104,52,보통
159,165,빠름
80,167,빠름
59,93,보통
175,163,빠름
15,143,보통
97,48,느림
137,28,느림
221,113,보통
201,96,보통
181,61,보통
15,3,느림
171,57,보통
19,134,보통
143,75,보통
24,40,느림
13,137,보통
86,29,느림
211,166,빠름
112,173,빠름
50,83,보통
35,36,느림
198,32,느림
148,193,빠름
16,98,보통
24,143,보통
207,30,느림
234,125,보통
33,97,보통
78,115,보통
189,65,보통
39,178,빠름
169,167,빠름
206,32,느림
206,76,보통
5,36,느림
50,109,보통
58,0,느림
245,76,보통
89,162,빠름
248,136,보통
40,109,보통
53,104,보통
68,163,빠름
108,87,보통
42,83,보통
215,83,보통
208,194,빠름
123,3,느림
146,24,느림
119,4,느림
200,138,보통
228,21,느림
222,74,보통
62,113,보통
175,101,보통
188,116,보통
136,124,보통
132,105,보통
142,137,보통
51,1,느림
36,90,보통
50,103,보통
192,154,빠름
172,77,보통
8,164,빠름
250,97,보통
96,180,빠름
135,12,느림
149,186,빠름
118,110,보통
226,66,보통
0,49,느림
72,51,보통
124,160,빠름
196,117,보통
87,57,보통
131,2,느림
86,181,빠름
6,152,빠름
9,177,빠름
153,21,느림
133,142,보통
71,61,보통
216,146,보통
163,80,보통
203,48,느림
151,90,보통
150,153,빠름
57,192,빠름
66,35,느림
58,167,빠름
62,111,보통
125,26,느림
66,3,느림
117,103,보통
77,124,보통
213,162,빠름
188,5,느림
207,161,빠름
2,14,느림
64,137,보통
221,101,보통
96,136,보통
205,200,빠름
35,48,느림
5,150,빠름
27,102,보통
119,169,빠름
148,136,보통
220,94,보통
48,196,빠름
64,112,보통
226,128,보통
24,38,느림
12,167,빠름
103,21,느림
215,97,보통
148,176,빠름
97,87,보통
230,91,보통
201,76,보통
46,30,느림
85,47,느림
190,33,느림
44,140,보통
55,26,느림
159,127,보통
217,192,빠름
194,193,빠름
132,155,빠름
195,196,빠름
91,50,보통
96,92,보통
5,200,빠름
90,132,보통
243,167,빠름
133,99,보통
64,100,보통
195,129,보통
248,98,보통
148,66,보통
206,120,보통
26,133,보통
158,99,보통
229,143,보통
142,195,빠름
202,7,느림
64,19,느림
33,81,보통
115,133,보통
171,194,빠름
237,187,빠름
215,35,느림
74,76,보통
0,120,느림
246,11,느림
113,54,보통
190,188,빠름
209,107,보통
5,61,보통
127,152,빠름
19,157,빠름
66,53,보통
31,117,보통
247,15,느림
3,108,보통
233,45,느림
135,75,보통
174,110,보통
183,62,보통
29,23,느림
88,146,보통
110,140,보통
69,68,보통
189,142,보통
210,139,보통
90,155,빠름
166,12,느림
146,10,느림
248,85,보통
45,24,느림
38,192,빠름
108,0,느림
67,155,빠름
222,138,보통
204,142,보통
43,183,빠름
76,83,보통
56,54,보통
99,188,빠름
142,105,보통
34,35,느림
132,130,보통
164,83,보통
192,116,보통
228,103,보통
117,35,느림
211,66,보통
129,57,보통
128,198,빠름
244,147,보통
60,189,빠름
16,13,느림
193,89,보통
187,91,보통
43,44,느림
83,119,보통
94,14,느림
133,109,보통
155,104,보통
169,191,빠름
240,148,보통
14,188,빠름
40,73,보통
191,186,빠름
135,161,빠름
236,135,보통
225,174,빠름
5,85,보통
153,126,보통
168,1,느림
219,87,보통
49,131,보통
83,42,느림
60,127,보통
93,29,느림
32,196,빠름
230,144,보통
247,41,느림
105,124,보통
149,56,보통
72,0,느림
158,99,보통
85,25,느림
144,1,느림
21,103,보통
203,186,빠름
12,29,느림
153,152,빠름
3,85,보통
88,139,보통
161,14,느림
177,200,빠름
216,161,빠름
240,82,보통
171,146,보통
120,82,보통
182,197,빠름
42,70,보통
33,194,빠름
235,138,보통
216,29,느림
143,8,느림
106,138,보통
71,109,보통
180,171,빠름
138,117,보통
217,48,느림
242,181,빠름
86,182,빠름
183,63,보통
239,155,빠름
154,93,보통
79,45,느림
200,122,보통
93,62,보통
122,92,보통
2,116,보통
145,164,빠름
160,66,보통
198,163,빠름
205,105,보통
240,9,느림
123,72,보통
110,172,빠름
139,109,보통
230,85,보통
197,32,느림
168,94,보통
57,86,보통
215,142,보통
159,95,보통
239,96,보통
159,64,보통
88,132,보통
97,3,느림
103,20,느림
62,95,보통
181,111,보통
17,136,보통
121,53,보통
131,171,빠름
102,14,느림
85,197,빠름
239,190,빠름
242,161,빠름
238,23,느림
159,31,느림
98,96,보통
79,182,빠름
243,64,보통
65,115,보통
248,157,빠름
94,161,빠름
47,154,빠름
23,45,느림
39,21,느림
91,46,느림
59,84,보통
142,102,보통
65,12,느림
230,81,보통
250,116,보통
174,58,보통
94,93,보통
188,76,보통
244,19,느림
196,138,보통
120,71,보통
42,17,느림
176,93,보통
61,61,보통
133,188,빠름
245,93,보통
9,147,보통
96,167,빠름
224,37,느림
44,25,느림
76,35,느림
148,108,보통
41,158,빠름
8,57,보통
243,84,보통
78,94,보통
230,26,느림
32,190,빠름
69,100,보통
77,86,보통
155,11,느림
188,66,보통
112,136,보통
135,158,빠름
227,2,느림
16,16,느림
208,134,보통
99,102,보통
9,198,빠름
103,104,보통
145,114,보통
8,38,느림
158,159,빠름
27,61,보통
78,34,느림
213,131,보통
168,139,보통
48,85,보통
245,86,보통
157,3,느림
212,176,빠름
162,17,느림
126,135,보통
117,162,빠름
97,113,보통
104,41,느림
214,86,보통
175,53,보통
5,127,보통
60,31,느림
184,177,빠름
59,39,느림
51,94,보통
70,131,보통
153,14,느림
230,182,빠름
78,132,보통
232,105,보통
245,29,느림
22,36,느림
228,138,보통
85,146,보통
170,115,보통
136,173,빠름
203,104,보통
97,157,빠름
195,186,빠름
146,89,보통
32,54,보통
243,102,보통
226,4,느림
50,73,보통
114,16,느림
2,25,느림
229,191,빠름
40,129,보통
169,143,보통
206,128,보통
31,20,느림
208,176,빠름
195,151,빠름
52,81,보통
125,103,보통
43,168,빠름
142,68,보통
69,143,보통
124,117,보통
110,89,보통
103,36,느림
145,32,느림
186,48,느림
212,43,느림
125,108,보통
163,86,보통
231,10,느림
213,53,보통
243,16,느림
204,57,보통
102,10,느림
173,3,느림
164,2,느림
215,45,느림
200,195,빠름
56,6,느림
62,4,느림
198,61,보통
87,22,느림
90,195,빠름
235,176,빠름
204,72,보통
90,189,빠름
234,161,빠름
105,57,보통
188,185,빠름
224,196,빠름
9,110,보통
174,53,보통
139,132,보통
7,40,느림
246,182,빠름
23,100,보통
63,17,느림
58,121,보통
181,1,느림
158,109,보통
162,4,느림
4,167,빠름
140,67,보통
82,44,느림
1,25,느림
131,23,느림
197,0,느림
198,68,보통
8,130,보통
54,132,보통
124,114,보통
105,6,느림
244,138,보통
22,50,보통
36,52,보통
20,90,보통
71,127,보통
120,77,보통
110,197,빠름
159,132,보통
248,86,보통
61,189,빠름
244,51,보통
44,177,빠름
176,196,빠름
151,43,느림
137,17,느림
87,95,보통
48,40,느림
31,100,보통
53,133,보통
7,45,느림
107,184,빠름
17,25,느림
250,54,보통
140,163,빠름
188,147,보통
111,28,느림
145,129,보통
228,138,보통
95,101,보통
177,91,보통
175,109,보통
67,199,빠름
169,170,빠름
118,19,느림
42,160,빠름
151,113,보통
42,39,느림
27,1,느림
69,117,보통
230,164,빠름
171,163,빠름
168,22,느림
54,194,빠름
194,75,보통
147,67,보통
83,129,보통
200,26,느림
112,49,느림
64,167,빠름
48,147,보통
125,51,보통
194,39,느림
108,197,빠름
107,103,보통
82,144,보통
121,192,빠름
208,190,빠름
217,164,빠름
9,58,보통
134,184,빠름
212,47,느림
109,26,느림
185,118,보통
118,151,빠름
248,77,보통
144,48,느림
147,10,느림
112,114,보통
10,102,보통
193,37,느림
9,70,보통
167,134,보통
43,166,빠름
66,171,빠름
21,19,느림
205,70,보통
142,169,빠름
9,116,보통
72,51,보통
119,128,보통
28,97,보통
134,60,보통
214,60,보통
58,160,빠름
99,140,보통
191,153,빠름
64,127,보통
209,173,빠름
223,40,느림
65,77,보통
76,130,보통
248,179,빠름
17,95,보통
13,90,보통
126,148,보통
2,100,보통
211,194,빠름
200,94,보통
46,121,보통
248,66,보통
232,143,보통
112,137,보통
166,67,보통
210,41,느림
223,183,빠름
146,180,빠름
125,166,빠름
164,64,보통
88,199,빠름
191,139,보통
163,48,느림
109,109,보통
75,102,보통
217,121,보통
177,33,느림
102,49,느림
16,128,보통
89,149,보통
140,96,보통
16,111,보통
181,22,느림
25,42,느림
216,191,빠름
113,193,빠름
30,71,보통
163,137,보통
163,108,보통
65,126,보통
114,23,느림
13,67,보통
64,155,빠름
249,193,빠름
36,60,보통
2,61,보통
163,16,느림
4,187,빠름
119,186,빠름
151,174,빠름
198,30,느림
150,94,보통
123,64,보통
237,77,보통
150,69,보통
124,39,느림
171,137,보통
29,53,보통
16,110,보통
22,76,보통
101,5,느림
193,89,보통
5,41,느림
76,88,보통
127,5,느림
215,40,느림
249,83,보통
19,51,보통
134,18,느림
31,49,느림
235,8,느림
131,119,보통
9,136,보통
101,123,보통
94,22,느림
120,76,보통
33,100,보통
196,66,보통
162,173,빠름
39,53,보통
199,91,보통
79,9,느림
151,170,빠름
153,199,빠름
96,115,보통
20,120,보통
118,15,느림
143,140,보통
184,147,보통
63,44,느림
224,195,빠름
222,113,보통
93,113,보통
40,117,보통
101,171,빠름
170,192,빠름
110,49,느림
222,134,보통
65,113,보통
105,138,보통
222,35,느림
199,26,느림
31,3,느림
39,122,보통
94,63,보통
154,62,보통
107,118,보통
55,130,보통
71,143,보통
25,104,보통
190,69,보통
132,44,느림
78,170,빠름
175,109,보통
143,47,느림
235,35,느림
39,5,느림
66,165,빠름
150,180,빠름
88,49,느림
43,86,보통
28,83,보통
208,11,느림
128,198,빠름
79,190,빠름
215,131,보통
154,110,보통
180,53,보통
56,68,보통
103,2,느림
150,119,보통
200,110,보통
170,160,빠름
150,181,빠름
245,55,보통
135,163,빠름
171,128,보통
108,161,빠름
201,28,느림
179,130,보통
51,57,보통
207,31,느림
80,2,느림
223,68,보통
20,16,느림
206,39,느림
186,10,느림
115,87,보통
11,196,빠름
215,34,느림
48,133,보통
47,183,빠름
43,128,보통
60,9,느림
116,162,빠름
110,49,느림
70,30,느림
19,54,보통
140,13,느림
228,187,빠름
180,92,보통
121,10,느림
218,12,느림
192,40,느림
173,89,보통
222,181,빠름
44,22,느림
177,32,느림
136,187,빠름
224,111,보통
80,185,빠름
69,164,빠름
42,20,느림
46,149,보통
229,86,보통
190,115,보통
157,44,느림
94,42,느림
151,171,빠름
86,37,느림
105,97,보통
244,109,보통
46,88,보통
90,180,빠름
8,142,보통
216,142,보통
9,90,보통
155,128,보통
10,112,보통
183,45,느림
198,110,보통
162,130,보통
5,9,느림
115,47,느림
104,122,보통
149,22,느림
179,131,보통
164,122,보통
195,154,빠름
76,43,느림
199,16,느림
49,124,보통
221,78,보통
181,101,보통
173,37,느림
228,15,느림
17,125,보통
119,89,보통
228,51,보통
